"notice_id","posted_date","response_deadline","notice_type","recommended_action","set_aside","naics","agency","office","place_of_performance_state","title","active","sam_gov_link","description"
"e854f985306d4bc39336edb274accf0c","2026-08-11","2026-08-25","Presolicitation","Track and prepare","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)","MILWAUKEE","","R499--On-site Survey Readiness Services (Mock Physical Environment  / Life Safety Survey)","true","https://sam.gov/workspace/contract/opp/e854f985306d4bc39336edb274accf0c/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e854f985306d4bc39336edb274accf0c"
"c826817eb4aa4d46a0bf77a96e92be4a","2026-08-10","2026-08-21","Solicitation","Review for bid","Small Business Set Aside - Total","541611","DEPT OF DEFENSE.DEFENSE HEALTH AGENCY (DHA).DEFENSE HEALTH AGENCY","FALLS CHURCH","","Hospital Communications Support","true","https://sam.gov/workspace/contract/opp/c826817eb4aa4d46a0bf77a96e92be4a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c826817eb4aa4d46a0bf77a96e92be4a"
"9a12e1b8263349739a7217c0a203b8b0","2026-08-07","2026-08-11","Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC SAN DIEGO.NAVSUP FLT LOG CTR  SAN DIEGO","SAN DIEGO","","DSpace Software Upgrades, Configuration, Maintenance Support at NPS","true","https://sam.gov/workspace/contract/opp/9a12e1b8263349739a7217c0a203b8b0/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9a12e1b8263349739a7217c0a203b8b0"
"32a9ee0c337845ffa1fb0e09369394d7","2026-08-06","2026-08-10","Special Notice","Review notice","Small Business Set Aside - Total","541611","DEPT OF DEFENSE.WASHINGTON HEADQUARTERS SERVICES (WHS)","","","notice of Intent to Sole Source","true","https://sam.gov/workspace/contract/opp/32a9ee0c337845ffa1fb0e09369394d7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=32a9ee0c337845ffa1fb0e09369394d7"
"4e96b451b8c44bb0bba6f719dd0a4b0f","2026-08-06","2026-08-20","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541511","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.260-NETWORK CONTRACT OFFICE 20 (36C260)","VANCOUVER","","DA01--Software maintenance and support services for existing  MyPath tools in support of VA Puget Sound Healthcare System,  Seattle, WA","true","https://sam.gov/workspace/contract/opp/4e96b451b8c44bb0bba6f719dd0a4b0f/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4e96b451b8c44bb0bba6f719dd0a4b0f"
"5f19141a785f4aa5ac8333533b181be0","2026-08-06","2026-08-25","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC NORFOLK.NAVSUP FLT LOG CTR NORFOLK","NORFOLK","","Naval Information Warfighting Development Center Electronic Warfare Data IDIQ","true","https://sam.gov/workspace/contract/opp/5f19141a785f4aa5ac8333533b181be0/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5f19141a785f4aa5ac8333533b181be0"
"fc7458b1a98d4cb8825f8e6b431bcca7","2026-08-06","2026-08-20","Solicitation","Review for bid","Small Business Set Aside - Total","541511","COMMERCE, DEPARTMENT OF.NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION.DEPT OF COMMERCE NOAA","SEATTLE","","Senior C++ programmer to modify the COMPASS model","true","https://sam.gov/workspace/contract/opp/fc7458b1a98d4cb8825f8e6b431bcca7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fc7458b1a98d4cb8825f8e6b431bcca7"
"689b3b993af64e3b8469c01f874819fb","2026-08-05","2026-07-23","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541611","JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FAO","GRAND PRAIRIE","","Historical Medical Claims Data Analysis","true","https://sam.gov/workspace/contract/opp/689b3b993af64e3b8469c01f874819fb/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=689b3b993af64e3b8469c01f874819fb"
"198b2f71744344e5b74318e64cf759bd","2026-08-04","2026-08-09","Sources Sought","Respond with capability statement","Small Business Set Aside - Total","541611","DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.0419 AQ HQ     CONTRACTING SUP","FORT BRAGG","","Staff Augmentation","true","https://sam.gov/workspace/contract/opp/198b2f71744344e5b74318e64cf759bd/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=198b2f71744344e5b74318e64cf759bd"
"8ae534e62e0642999ce852e2cb2fdece","2026-08-04","2026-09-01","Presolicitation","Track and prepare","Small Business Set Aside - Total","541611","HOMELAND SECURITY, DEPARTMENT OF.US IMMIGRATION AND CUSTOMS ENFORCEMENT.CHIEF FINANCIAL OFFCER ADMINISTRATIVE SERVICES","Washington","","Customer Service Operations","true","https://sam.gov/workspace/contract/opp/8ae534e62e0642999ce852e2cb2fdece/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8ae534e62e0642999ce852e2cb2fdece"
"91222a4efaeb4a2eb7cd5e79abbe4079","2026-08-04","2026-08-06","Combined Synopsis/Solicitation","Review for bid","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.MP-REGIONAL OFFICE","SACRAMENTO","","T--CGB-400 IMT GIS Technical Service Support","true","https://sam.gov/workspace/contract/opp/91222a4efaeb4a2eb7cd5e79abbe4079/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=91222a4efaeb4a2eb7cd5e79abbe4079"
"5b1f4bad02c24fccaed398229a5844c7","2026-08-03","2026-08-13","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541611","AGRICULTURE, DEPARTMENT OF.AGRICULTURAL RESEARCH SERVICE.USDA ARS AFM APD","BELTSVILLE","","Wastewater Treatment Plant Operational Support - NBAF","true","https://sam.gov/workspace/contract/opp/5b1f4bad02c24fccaed398229a5844c7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=5b1f4bad02c24fccaed398229a5844c7"
"819f226c8dd24af09bd3b5e36b0bcdd7","2026-08-03","2026-08-13","Special Notice","Review notice","Service-Disabled Veteran-Owned Small Business (SDVOSB) Sole Source (FAR 19.14)","541511","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.255-NETWORK CONTRACT OFFICE 15 (36C255)","LEAVENWORTH","","Intent to Sole Source HL7 Interface","true","https://sam.gov/workspace/contract/opp/819f226c8dd24af09bd3b5e36b0bcdd7/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=819f226c8dd24af09bd3b5e36b0bcdd7"
"c14a30d0c5fe4df98a4df82904e6182b","2026-08-03","2026-08-17","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541430","DEPT OF DEFENSE.DEPT OF THE AIR FORCE.PACIFIC AIR FORCES.FA5215  766 ESS PKP","JBPHH","","Wayfinding Signage","true","https://sam.gov/workspace/contract/opp/c14a30d0c5fe4df98a4df82904e6182b/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c14a30d0c5fe4df98a4df82904e6182b"
"9fa414054264476d8f689172899f294e","2026-07-31","2026-08-12","Solicitation","Review for bid","Small Business Set Aside - Total","541613","DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO DC.USPFO DC PROCUREMENT.W7M1 USPFO ACTIVITY DC ARNG","JOINT BASE ANACOSTIA","","DCARNG Recruiting & Retention Marketing Services","true","https://sam.gov/workspace/contract/opp/9fa414054264476d8f689172899f294e/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9fa414054264476d8f689172899f294e"
"4fe727f9e7304c079dc0d6d0e3db06ec","2026-07-28","2026-08-04","Sources Sought","Respond with capability statement","Small Business Set Aside - Total","541611","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)","MILWAUKEE","","R499--On-site Survey Readiness Services (Mock Physical Environment  /Life Safety Survey)","true","https://sam.gov/workspace/contract/opp/4fe727f9e7304c079dc0d6d0e3db06ec/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4fe727f9e7304c079dc0d6d0e3db06ec"
"af262d595ed9495982cc497ec3b4f40d","2026-07-28","2026-08-03","Sources Sought","Respond with capability statement","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEFENSE INFORMATION SYSTEMS AGENCY (DISA).DITCO-PAC","PEARL HARBOR","","VR Training System for Gas Turbine Generator - Pearl Harbor, HI","true","https://sam.gov/workspace/contract/opp/af262d595ed9495982cc497ec3b4f40d/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=af262d595ed9495982cc497ec3b4f40d"
"cd89efcb295947a9987ed1ca1332dd40","2026-07-28","2026-08-03","Special Notice","Review notice","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE GLOBAL STRIKE COMMAND.FA4608  2 CONS LGC","BARKSDALE AFB","","Command Professional Edition Software","true","https://sam.gov/workspace/contract/opp/cd89efcb295947a9987ed1ca1332dd40/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cd89efcb295947a9987ed1ca1332dd40"
"f9b70ca92e27489b801f7b61d56a42ce","2026-07-27","2026-08-04","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541618","INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.NER SERVICES MABO (43000)","BOSTON","","R--Project Scoping Assessments-FY26 (PSA) at Northeas","true","https://sam.gov/workspace/contract/opp/f9b70ca92e27489b801f7b61d56a42ce/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f9b70ca92e27489b801f7b61d56a42ce"
"6b774343842d48598530b576493d4dcb","2026-07-24","2027-07-24","Award Notice","Market intelligence","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO MI.USPFO MI PROCUREMENT.W7NF USPFO ACTIVITY MI ARNG","LANSING","","Mortuary Affairs and Fatality Management Integrator (MAFMI) Services","true","https://sam.gov/workspace/contract/opp/6b774343842d48598530b576493d4dcb/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=6b774343842d48598530b576493d4dcb"
"65eecc7f28a34388b57d77b96399572e","2026-07-23","2026-08-06","Solicitation","Review for bid","Small Business Set Aside - Total","541430","INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.NEVADA STATE OFFICE","RENO","","Signage Project for Garnet Hill Recreation Area","true","https://sam.gov/workspace/contract/opp/65eecc7f28a34388b57d77b96399572e/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=65eecc7f28a34388b57d77b96399572e"
"51d8c85010654f3ea82d764e47079a93","2026-07-22","2026-08-03","Sources Sought","Respond with capability statement","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","DEPT OF DEFENSE.US SPECIAL OPERATIONS COMMAND (USSOCOM).HQ USSOCOM","TAMPA","","SOF Enterprise Professional Services (SEPS) II","true","https://sam.gov/workspace/contract/opp/51d8c85010654f3ea82d764e47079a93/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=51d8c85010654f3ea82d764e47079a93"
"0899830630484b3489ee063c305463e4","2026-07-21","2026-07-31","Solicitation","Review for bid","Small Business Set Aside - Total","541430","INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, SAT TEAM 1","Falls Church","","99--OR-MALHEUR NWR-ENHANCEMENT GB MUSEUM","true","https://sam.gov/workspace/contract/opp/0899830630484b3489ee063c305463e4/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=0899830630484b3489ee063c305463e4"
"682ea450ffc94c49a95888bcb4597f2a","2026-07-14","2026-08-05","Solicitation","Review for bid","Small Business Set Aside - Total","541430","DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST ST PAUL.W07V ENDIST ST PAUL","SAINT PAUL","","Design and Supply Interpretive Display Panels for Lock and Dam No. 7 Visitors Center","true","https://sam.gov/workspace/contract/opp/682ea450ffc94c49a95888bcb4597f2a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=682ea450ffc94c49a95888bcb4597f2a"
"c95215259ecf4186a6b05fbfecc8b24a","2026-06-29","2026-07-29","Presolicitation","Track and prepare","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541611","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.VETERANS BENEFITS ADMIN (36C10D)","WASHINGTON","","R499--FY26 Longitudinal Study  Congressionally mandated Longitudinal Study, required per  Public Law 110-389, Section 334","true","https://sam.gov/workspace/contract/opp/c95215259ecf4186a6b05fbfecc8b24a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c95215259ecf4186a6b05fbfecc8b24a"
"f4cd0e1bae944e159d77b8f46283316a","2026-06-25","2026-08-24","Award Notice","Market intelligence","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","541511","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)","Saint Paul","","6515--EQ Telesitter in support of the Sioux Falls VAHCS","true","https://sam.gov/workspace/contract/opp/f4cd0e1bae944e159d77b8f46283316a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f4cd0e1bae944e159d77b8f46283316a"
"b109d784ffd7452a8c18df3ac62e4e3d","2026-06-24","2026-07-31","Special Notice","Review notice","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.US SPECIAL OPERATIONS COMMAND (USSOCOM).MARSOC H92257","SNEADS FERRY","","Sole Source Award for the Whole Marine Program","true","https://sam.gov/workspace/contract/opp/b109d784ffd7452a8c18df3ac62e4e3d/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b109d784ffd7452a8c18df3ac62e4e3d"
"41389fbe5766414cac0ff17c18eafe1a","2026-05-13","2026-05-27","Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE GLOBAL STRIKE COMMAND.FA9401  377 MSG PK","KIRTLAND AFB","","Bird Avoidance Model/ Avian Hazard Advisory System (BAM/AHAS) Support","true","https://sam.gov/workspace/contract/opp/41389fbe5766414cac0ff17c18eafe1a/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=41389fbe5766414cac0ff17c18eafe1a"
"957ae01329594885bc864d5d3a451b2b","2026-03-30","2026-04-13","Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.W6QM MICC-FT DRUM","FORT DRUM","","Construction Cost Estimating Software","true","https://sam.gov/workspace/contract/opp/957ae01329594885bc864d5d3a451b2b/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=957ae01329594885bc864d5d3a451b2b"
"909c17a4346c4ae189e1ddd7a782fc68","2026-02-27","2026-03-06","Combined Synopsis/Solicitation","Review for bid","Small Business Set Aside - Total","541511","DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.W6QM MICC-FT DRUM","FORT DRUM","","Construction Cost Estimating Book","true","https://sam.gov/workspace/contract/opp/909c17a4346c4ae189e1ddd7a782fc68/view","https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=909c17a4346c4ae189e1ddd7a782fc68"
